id,KPI,dateJudge
117,0.47,5/9/2017
118,0.99,15/11/2017
119,0.37,13/10/2017
120,0.89,14/8/2017
121,0.89,28/12/2017
122,0.18,9/9/2017
123,0.83,19/9/2017
124,0.12,19/2/2017
125,0.3,14/2/2017
126,0.47,13/5/2017
127,0.69,14/3/2017
128,0.9,8/1/2017
129,0.15,20/7/2017
130,0.23,9/3/2017
131,0.25,12/8/2017
132,0.41,12/5/2017
133,0.34,14/9/2017
134,0.42,20/1/2017
135,0.6,7/5/2017
136,0.21,7/5/2017
137,0.48,14/2/2017
138,0.09,16/7/2017
139,0.23,29/4/2017
140,0.95,18/12/2017
141,0.82,20/7/2017
142,0.07,26/7/2017
143,0.99,21/8/2017
144,0.95,27/11/2017
145,0.94,2/4/2017
146,0.83,23/5/2017
147,0.12,30/12/2017
148,0.17,14/1/2017
149,0.87,12/6/2017
150,0.58,27/4/2017
151,0.52,20/12/2017
152,0.78,19/12/2017
153,0.4,1/9/2017
154,0.84,18/12/2017
155,0.69,4/6/2017
156,0.9,27/8/2017
157,0.18,12/1/2017
158,0.62,10/1/2017
159,0.64,10/7/2017
160,0.93,14/8/2017
161,0.45,25/2/2017
162,0.42,28/5/2017
163,0.28,12/1/2017
164,0.88,17/9/2017
165,0.91,17/5/2017
166,0.6,14/11/2017
167,0.77,9/9/2017
168,0.39,5/10/2017
169,0.64,25/7/2017
170,0.65,20/6/2017
171,0.53,12/12/2017
172,0.72,4/9/2017
173,0.13,26/11/2017
174,0.15,3/12/2017
175,0.09,21/11/2017
176,0.13,16/11/2017
177,0.31,29/12/2017
178,0.2,14/11/2017
179,0.2,12/11/2017
180,0.64,26/2/2017
181,0.35,14/9/2017
182,0.49,11/10/2017
183,0.1,22/3/2017
184,0.87,4/10/2017
185,0.51,2/8/2017
186,0.38,17/2/2017
187,0.58,2/9/2017
188,0.02,23/5/2017
189,0.6,27/2/2017
190,0.25,2/8/2017
191,0.49,7/2/2017
192,0.3,5/5/2017
193,0.41,19/11/2017
194,0.95,20/1/2017
195,0.83,17/1/2017
196,0.24,24/2/2017
197,0.0,2/6/2017
198,0.62,10/7/2017
199,0.69,4/7/2017
200,0.59,23/7/2017
201,0.69,22/11/2017
202,0.77,23/3/2017
203,0.9,7/3/2017
204,0.01,13/10/2017
205,0.96,19/9/2017
206,0.19,21/6/2017
207,0.94,5/12/2017
208,0.55,4/6/2017
209,0.8,6/2/2017
210,0.79,20/8/2017
211,0.79,10/8/2017
212,0.66,18/9/2017
213,0.1,4/6/2017
214,0.55,17/3/2017
215,0.95,28/4/2017
216,0.69,14/5/2017
217,0.77,9/2/2017
218,0.07,7/10/2017
219,0.29,15/1/2017
220,0.89,9/10/2017
221,0.07,2/2/2017
222,0.18,18/7/2017
223,0.9,17/8/2017
224,0.32,13/5/2017
225,0.12,10/12/2017
226,0.65,29/1/2017
227,0.22,21/5/2017
228,0.98,11/3/2017
229,0.71,19/3/2017
230,0.57,27/1/2017
231,0.3,9/9/2017
232,0.21,11/5/2017
233,0.91,18/1/2017
234,0.12,24/11/2017
235,0.98,2/11/2017
236,0.51,3/12/2017
237,0.53,14/6/2017
238,0.47,6/7/2017
239,0.53,12/9/2017
240,0.94,14/7/2017
241,0.26,7/9/2017
242,0.56,11/1/2017
243,0.99,11/12/2017
244,0.91,2/4/2017
245,0.35,26/6/2017
246,0.09,27/8/2017
247,0.82,17/12/2017
248,0.62,27/2/2017
249,0.06,26/7/2017
250,0.06,3/4/2017
251,0.93,20/11/2017
252,0.55,30/11/2017
253,0.67,9/10/2017
254,0.32,11/6/2017
255,0.5,14/5/2017
256,0.62,19/10/2017
257,0.6,10/12/2017
258,0.35,23/3/2017
259,0.63,10/9/2017
260,0.57,9/1/2017
261,0.59,21/7/2017
262,0.64,12/1/2017
263,0.27,6/5/2017
264,0.26,25/1/2017
265,0.91,23/10/2017
266,0.71,6/4/2017
267,0.43,4/12/2017
268,0.82,3/12/2017
269,0.25,19/11/2017
270,0.02,19/11/2017
271,0.2,20/11/2017
272,0.01,30/1/2017
273,0.83,25/12/2017
274,0.13,25/1/2017
275,0.99,26/3/2017
276,0.88,13/6/2017
277,0.15,24/8/2017
278,0.23,19/6/2017
279,0.96,29/10/2017
280,0.91,23/9/2017
281,0.43,5/1/2017
282,0.47,8/9/2017
283,0.59,16/7/2017
284,0.81,1/7/2017
285,0.62,10/11/2017
286,0.86,12/2/2017
287,0.11,29/5/2017
288,0.73,28/5/2017
289,0.51,22/1/2017
290,0.16,30/6/2017
291,0.42,24/4/2017
292,0.58,8/12/2017
293,0.43,27/7/2017
294,0.49,13/2/2017
295,0.09,11/3/2017
296,0.35,31/5/2017
297,0.37,4/6/2017
298,0.47,20/3/2017
299,0.44,8/10/2017
300,0.03,24/8/2017
301,0.65,12/6/2017
302,0.35,19/10/2017
303,0.63,18/1/2017
304,0.26,25/6/2017
305,0.35,15/12/2017
306,0.52,21/11/2017
307,0.04,8/8/2017
308,0.19,7/11/2017
309,0.7,24/5/2017
310,0.08,29/11/2017
311,0.13,9/8/2017
312,0.63,27/11/2017
313,0.34,4/4/2017
314,0.17,26/8/2017
315,0.19,3/4/2017
316,0.37,25/1/2017
317,0.76,19/3/2017
318,0.02,8/7/2017
319,0.94,19/4/2017
320,0.79,8/4/2017
321,0.98,3/9/2017
322,0.24,26/6/2017
323,0.98,12/9/2017
324,0.57,23/11/2017
325,0.39,6/9/2017
326,0.59,21/10/2017
327,0.45,26/9/2017
328,0.61,14/10/2017
329,0.7,23/12/2017
330,0.2,9/12/2017
331,0.93,30/11/2017
332,0.92,9/3/2017
333,0.59,25/8/2017
334,0.51,21/10/2017
335,0.4,9/12/2017
336,0.12,8/7/2017
337,0.08,21/6/2017
338,0.67,14/10/2017
339,0.7,12/3/2017
340,0.68,21/2/2017
341,0.54,10/1/2017
342,0.33,22/2/2017
343,0.28,7/7/2017
344,0.51,11/12/2017
345,0.05,16/1/2017
346,0.12,29/5/2017
347,0.39,27/2/2017
348,0.68,1/4/2017
349,0.81,15/10/2017
350,0.68,21/8/2017
351,0.17,30/10/2017
352,0.88,31/5/2017
353,0.43,8/1/2017
354,0.45,14/2/2017
355,0.15,22/5/2017
356,0.42,24/10/2017
357,0.51,19/6/2017
358,0.41,16/4/2017
359,0.13,1/1/2017
360,0.93,1/6/2017
361,0.24,18/10/2017
362,0.94,2/2/2017
363,0.78,30/6/2017
364,0.44,16/10/2017
365,0.73,24/9/2017
366,0.49,7/12/2017
367,0.46,27/9/2017
368,0.2,31/8/2017
369,0.01,20/6/2017
370,0.81,9/9/2017
371,0.72,29/5/2017
372,0.27,28/3/2017
373,0.42,9/6/2017
374,0.65,11/11/2017
375,0.74,2/12/2017
376,0.61,27/7/2017
377,0.25,11/4/2017
378,0.01,3/10/2017
379,0.1,4/7/2017
380,0.83,15/8/2017
381,0.78,3/4/2017
382,0.9,12/1/2017
383,0.04,8/12/2017
384,0.8,14/12/2017
385,0.16,21/8/2017
386,0.87,16/12/2017
387,0.33,4/6/2017
388,0.84,18/10/2017
389,0.39,27/10/2017
390,0.69,21/11/2017
391,0.35,18/12/2017
392,0.82,20/11/2017
393,0.52,29/12/2017
394,0.26,28/12/2017
395,0.07,2/12/2017
396,0.4,26/7/2017
397,0.35,8/3/2017
398,0.75,27/1/2017
399,0.77,30/7/2017
400,0.71,4/9/2017
401,0.98,25/9/2017
402,0.57,31/3/2017
403,0.63,20/2/2017
404,0.6,14/6/2017
405,0.8,15/10/2017
406,0.0,19/1/2017
407,0.8,29/7/2017
408,0.02,6/7/2017
409,0.77,18/1/2017
410,0.5,7/4/2017
411,0.91,17/7/2017
412,0.77,14/1/2017
413,0.41,8/10/2017
414,0.61,5/2/2017
415,0.13,23/11/2017
416,0.76,12/1/2017
417,0.0,4/2/2017
418,0.87,16/6/2017
419,0.9,31/3/2017
420,0.86,7/10/2017
421,0.77,3/1/2017
422,0.32,9/10/2017
423,0.01,24/4/2017
424,0.94,17/8/2017
425,0.21,14/11/2017
426,0.94,30/3/2017
427,0.52,21/7/2017
428,0.84,6/9/2017
429,0.74,20/8/2017
430,0.8,16/2/2017
431,0.24,16/3/2017
432,0.22,25/2/2017
433,0.46,24/2/2017
434,0.95,1/1/2017
435,0.04,1/5/2017
436,0.25,4/8/2017
437,0.76,16/7/2017
438,0.93,15/1/2017
439,0.25,25/2/2017
440,0.75,31/1/2017
441,0.98,20/5/2017
442,0.03,29/9/2017
443,0.88,7/11/2017
444,0.28,31/7/2017
445,0.9,20/12/2017
446,0.76,20/6/2017
447,0.8,5/10/2017
448,0.41,1/2/2017
449,0.49,16/4/2017
450,0.21,27/1/2017
451,0.23,7/1/2017
452,0.56,22/9/2017
453,0.12,13/1/2017
454,0.41,20/11/2017
455,0.28,5/12/2017
456,0.16,29/6/2017
457,0.46,6/7/2017
458,0.81,30/4/2017
459,0.79,5/9/2017
460,0.53,7/7/2017
461,0.7,4/4/2017
462,0.84,10/11/2017
463,0.08,11/1/2017
464,0.7,22/6/2017
465,0.52,19/8/2017
466,0.11,10/4/2017
467,0.4,8/6/2017
468,0.09,7/4/2017
469,0.24,10/4/2017
470,0.69,26/6/2017
471,0.94,28/11/2017
472,0.31,13/5/2017
473,0.58,28/12/2017
474,0.06,15/1/2017
475,0.5,14/7/2017
476,0.68,29/12/2017
477,0.65,5/4/2017
478,0.93,16/4/2017
479,0.81,23/10/2017
480,0.27,29/4/2017
481,0.03,19/1/2017
482,1.0,28/4/2017
483,0.82,23/6/2017
484,0.83,4/9/2017
485,0.23,18/12/2017
486,0.77,14/2/2017
487,0.49,16/4/2017
488,0.41,8/11/2017
489,0.33,31/5/2017
490,0.46,12/1/2017
491,0.29,26/2/2017
492,0.14,11/3/2017
493,0.02,3/12/2017
494,0.31,4/9/2017
495,0.42,31/10/2017
496,0.14,15/9/2017
497,0.12,17/10/2017
498,0.07,17/1/2017
499,0.73,19/2/2017
500,0.66,29/8/2017
501,0.87,7/5/2017
502,0.62,11/12/2017
503,0.18,22/2/2017
504,0.62,6/7/2017
505,0.58,24/10/2017
506,0.9,1/12/2017
507,0.4,14/3/2017
508,0.22,23/10/2017
509,0.0,28/1/2017
510,0.33,11/10/2017
511,0.93,11/3/2017
512,0.54,15/11/2017
513,0.85,28/2/2017
514,0.07,14/1/2017
515,0.12,29/4/2017
516,0.64,27/2/2017
517,0.12,6/9/2017
518,0.67,8/5/2017
519,0.9,13/12/2017
520,0.13,13/3/2017
521,0.59,1/6/2017
522,0.07,27/7/2017
523,0.29,24/8/2017
524,0.44,30/10/2017
525,0.04,24/1/2017
526,0.36,22/11/2017
527,0.07,23/11/2017
528,0.93,18/9/2017
529,0.81,15/7/2017
530,0.31,30/7/2017
531,0.39,10/6/2017
532,0.1,25/12/2017
533,0.8,6/10/2017
534,0.89,24/8/2017
535,0.39,16/2/2017
536,0.61,3/8/2017
537,0.28,16/5/2017
538,0.91,4/9/2017
539,0.9,17/7/2017
540,0.83,19/8/2017
541,0.66,17/4/2017
542,0.86,28/3/2017
543,0.37,27/4/2017
544,0.78,27/12/2017
545,0.73,24/2/2017
546,0.2,10/12/2017
547,0.87,31/7/2017
548,0.16,23/12/2017
549,0.34,25/10/2017
550,0.19,30/3/2017
551,0.02,28/10/2017
552,0.05,18/10/2017
553,0.5,14/11/2017
554,0.18,22/4/2017
555,0.2,29/9/2017
556,0.21,25/8/2017
557,0.94,25/5/2017
558,0.15,27/10/2017
559,0.29,10/11/2017
560,0.4,9/7/2017
561,0.55,23/9/2017
562,0.18,8/10/2017
563,0.54,28/11/2017
564,0.36,16/6/2017
565,0.85,18/4/2017
566,0.38,9/9/2017
567,0.8,1/4/2017
568,0.77,29/10/2017
569,0.84,2/3/2017
570,0.19,10/12/2017
571,0.23,24/5/2017
572,0.75,29/12/2017
573,0.22,27/3/2017
574,0.91,17/4/2017
575,0.96,29/7/2017
576,0.71,5/8/2017
577,0.15,6/4/2017
578,0.08,17/3/2017
579,0.3,16/12/2017
580,0.43,14/11/2017
581,0.42,6/4/2017
582,0.73,19/9/2017
583,0.87,1/5/2017
584,0.81,31/12/2017
585,0.81,11/10/2017
586,0.4,4/4/2017
587,0.03,12/6/2017
588,0.98,5/7/2017
589,0.73,8/8/2017
590,0.65,30/3/2017
591,0.32,1/2/2017
592,0.11,14/9/2017
593,0.99,23/7/2017
594,0.49,28/7/2017
595,0.68,30/3/2017
596,0.38,23/3/2017
597,0.83,16/12/2017
598,0.7,17/11/2017
599,0.44,26/4/2017
600,0.67,14/6/2017
601,0.89,11/7/2017
602,0.52,19/10/2017
603,0.94,4/9/2017
604,0.57,5/1/2017
605,0.53,23/7/2017
606,0.99,15/8/2017
607,0.68,9/8/2017
608,0.72,26/9/2017
609,0.93,8/1/2017
610,0.46,6/11/2017
611,0.3,14/1/2017
612,0.46,1/7/2017
613,0.13,25/6/2017
614,0.82,15/6/2017
615,0.54,20/3/2017
616,0.35,11/6/2017
617,0.9,9/7/2017
618,0.01,6/9/2017
619,0.65,22/3/2017
620,0.51,30/4/2017
621,0.56,10/6/2017
622,0.61,15/7/2017
623,0.07,5/9/2017
624,0.82,16/10/2017
625,0.79,18/4/2017
626,0.06,28/2/2017
627,0.1,19/7/2017
628,0.76,1/7/2017
629,0.61,15/7/2017
630,0.89,8/3/2017
631,0.06,11/9/2017
632,0.45,19/3/2017
633,0.39,21/3/2017
634,0.26,17/2/2017
635,0.36,15/9/2017
636,0.95,21/12/2017
637,0.85,30/10/2017
638,0.01,13/8/2017
639,0.24,8/2/2017
640,0.16,18/6/2017
641,0.9,27/7/2017
642,0.64,18/4/2017
643,0.48,16/2/2017
644,0.26,31/5/2017
645,0.78,2/1/2017
646,0.8,23/9/2017
647,0.66,20/4/2017
648,0.19,25/10/2017
649,0.49,28/1/2017
650,0.79,26/12/2017
651,0.2,13/5/2017
652,0.75,26/10/2017
653,0.96,20/4/2017
654,0.91,4/8/2017
655,0.01,9/10/2017
656,0.37,4/7/2017
657,1.0,18/7/2017
658,0.81,30/1/2017
659,0.61,20/5/2017
660,0.59,29/10/2017
661,0.47,5/3/2017
662,0.61,4/8/2017
663,0.97,20/4/2017
664,0.34,25/6/2017
665,0.94,1/3/2017
666,0.01,16/8/2017
667,0.14,21/1/2017
668,0.72,19/8/2017
669,0.55,24/4/2017
670,0.76,5/2/2017
671,0.94,26/12/2017
672,0.2,26/12/2017
673,0.64,24/4/2017
674,0.1,31/3/2017
675,0.92,12/1/2017
676,0.18,8/3/2017
677,0.0,2/11/2017
678,0.3,23/11/2017
679,0.07,20/10/2017
680,0.89,9/11/2017
681,0.65,4/12/2017
682,0.69,15/9/2017
683,0.55,8/9/2017
684,0.59,14/3/2017
685,0.93,10/10/2017
686,0.13,27/3/2017
687,0.66,12/7/2017
688,0.87,20/11/2017
689,0.56,19/3/2017
690,0.75,5/7/2017
691,0.17,6/1/2017
692,0.02,29/12/2017
693,0.63,30/1/2017
694,0.84,29/5/2017
695,0.68,13/1/2017
696,0.64,30/5/2017
697,0.83,18/9/2017
698,0.18,3/4/2017
699,0.56,27/6/2017
700,0.51,29/1/2017
701,0.07,26/5/2017
702,0.09,26/1/2017
703,0.73,3/9/2017
704,0.11,20/3/2017
705,0.41,21/3/2017
706,0.98,25/3/2017
707,0.14,6/10/2017
708,0.07,28/9/2017
709,0.3,22/12/2017
710,0.84,30/5/2017
711,0.48,9/5/2017
712,0.54,12/6/2017
713,0.96,22/12/2017
714,0.15,17/5/2017
715,0.98,20/5/2017
716,0.48,25/6/2017
717,0.64,21/6/2017
718,0.71,5/9/2017
719,0.2,24/5/2017
720,0.77,10/6/2017
721,0.82,4/3/2017
722,0.23,18/7/2017
723,0.9,10/4/2017
724,0.95,4/8/2017
725,0.53,7/5/2017
726,0.63,9/9/2017
727,0.17,21/4/2017
728,0.11,15/10/2017
729,0.35,8/7/2017
730,0.7,4/4/2017
731,0.28,9/4/2017
732,0.54,6/7/2017
733,0.69,18/7/2017
734,0.6,25/6/2017
735,0.74,24/8/2017
736,0.79,25/5/2017
737,0.8,21/12/2017
738,0.29,20/12/2017
739,0.24,29/5/2017
740,0.92,19/12/2017
741,0.22,3/12/2017
742,0.45,20/9/2017
743,0.03,20/2/2017
744,0.92,9/3/2017
745,0.63,10/12/2017
746,0.19,30/5/2017
747,0.12,17/8/2017
748,0.89,31/8/2017
749,0.94,21/9/2017
750,0.14,11/6/2017
751,0.14,30/12/2017
752,0.55,10/11/2017
753,0.32,21/7/2017
754,0.59,8/3/2017
755,0.87,21/5/2017
756,0.62,19/5/2017
757,0.55,26/2/2017
758,0.38,18/10/2017
759,0.55,1/9/2017
760,0.01,19/1/2017
761,0.6,17/7/2017
762,0.29,2/8/2017
763,0.94,15/1/2017
764,0.45,15/11/2017
765,0.14,15/10/2017
766,0.87,25/8/2017
767,0.28,13/10/2017
768,0.72,17/9/2017
769,0.04,6/8/2017
770,0.43,28/3/2017
771,0.09,12/2/2017
772,0.76,5/8/2017
773,0.69,16/3/2017
774,0.91,7/6/2017
775,0.44,16/2/2017
776,0.62,14/6/2017
777,0.68,22/2/2017
778,0.58,18/3/2017
779,0.62,20/10/2017
780,0.64,30/8/2017
781,0.66,4/8/2017
782,0.46,21/12/2017
783,0.5,25/9/2017
784,0.78,26/6/2017
785,0.5,25/10/2017
786,0.18,26/10/2017
787,0.68,31/8/2017
788,0.1,25/6/2017
789,0.67,9/8/2017
790,0.95,8/2/2017
791,0.86,29/9/2017
792,0.06,15/4/2017
793,0.89,1/8/2017
794,0.7,30/6/2017
795,0.96,23/9/2017
796,0.97,29/8/2017
797,0.79,29/11/2017
798,0.66,27/6/2017
799,0.02,3/6/2017
800,0.36,26/5/2017
801,0.3,16/10/2017
802,0.41,5/4/2017
803,0.64,29/10/2017
804,0.79,13/3/2017
805,0.78,14/1/2017
806,0.06,24/7/2017
807,0.93,6/3/2017
808,0.75,18/12/2017
809,0.87,5/6/2017
810,0.82,6/11/2017
811,0.99,4/4/2017
812,0.73,28/1/2017
813,0.66,29/4/2017
814,0.05,28/5/2017
815,0.46,17/3/2017
816,0.87,20/10/2017
817,0.19,13/12/2017
818,0.56,19/3/2017
819,0.04,10/9/2017
820,0.59,27/7/2017
821,0.24,30/3/2017
822,0.06,24/11/2017
823,0.63,4/9/2017
824,0.19,15/3/2017
825,0.9,14/5/2017
826,0.67,2/6/2017
827,0.08,17/1/2017
828,0.47,15/11/2017
829,0.55,26/7/2017
830,0.88,7/8/2017
831,0.65,27/3/2017
832,0.13,13/9/2017
833,0.58,3/1/2017
834,0.85,6/2/2017
835,0.04,19/6/2017
836,0.49,2/6/2017
837,0.13,30/6/2017
838,0.36,31/1/2017
839,0.8,18/3/2017
840,0.61,1/5/2017
841,0.74,7/4/2017
842,0.19,11/1/2017
843,0.16,5/3/2017
844,0.14,23/9/2017
845,0.95,11/2/2017
846,0.54,6/2/2017
847,0.36,29/1/2017
848,0.55,28/2/2017
849,0.28,15/10/2017
850,0.87,7/3/2017
851,0.93,20/3/2017
852,0.63,1/8/2017
853,0.21,30/7/2017
854,0.51,10/4/2017
855,0.86,19/3/2017
856,0.62,7/8/2017
857,0.36,8/10/2017
858,0.77,25/9/2017
859,0.42,10/2/2017
860,0.16,9/5/2017
861,0.12,14/8/2017
862,0.58,11/1/2017
863,0.82,4/7/2017
864,0.38,18/1/2017
865,0.97,4/3/2017
866,0.95,23/7/2017
867,0.16,22/2/2017
868,0.13,7/7/2017
869,0.15,22/9/2017
870,0.39,5/2/2017
871,0.46,26/10/2017
872,0.97,12/8/2017
873,0.85,8/4/2017
874,0.59,19/6/2017
875,0.48,26/11/2017
876,0.86,23/7/2017
877,0.76,12/10/2017
878,0.83,27/3/2017
879,0.92,27/6/2017
880,0.99,5/8/2017
881,0.7,11/8/2017
882,0.97,8/6/2017
883,0.62,7/6/2017
884,0.92,13/4/2017
885,0.21,13/5/2017
886,0.3,1/2/2017
887,0.21,26/3/2017
888,0.76,27/11/2017
889,0.85,3/3/2017
890,0.82,8/8/2017
891,0.24,15/7/2017
892,0.93,18/5/2017
893,0.01,24/2/2017
894,0.46,13/7/2017
895,0.68,30/8/2017
896,0.49,2/5/2017
897,0.87,11/7/2017
898,0.57,16/3/2017
899,0.94,19/3/2017
900,0.32,11/8/2017
901,0.17,12/5/2017
902,0.22,17/2/2017
903,1.0,28/4/2017
904,0.11,11/1/2017
905,0.42,30/1/2017
906,0.47,28/11/2017
907,0.3,24/4/2017
908,0.96,29/3/2017
909,0.24,26/7/2017
910,0.51,18/5/2017
911,0.27,12/9/2017
912,0.48,27/11/2017
913,0.05,4/2/2017
914,1.0,26/2/2017
915,0.58,30/6/2017
916,0.62,6/10/2017
917,0.99,18/2/2017
918,0.11,12/8/2017
919,0.33,29/9/2017
920,0.44,26/6/2017
921,0.79,15/7/2017
922,0.26,11/2/2017
923,0.29,7/9/2017
924,0.47,27/11/2017
925,0.85,6/3/2017
926,0.16,8/9/2017
927,0.05,12/7/2017
928,0.08,10/12/2017
929,0.8,15/5/2017
930,0.41,28/10/2017
931,0.5,30/9/2017
932,0.65,15/6/2017
933,0.21,22/10/2017
934,0.69,5/7/2017
935,0.94,25/4/2017
936,0.15,7/9/2017
937,0.5,6/4/2017
938,0.3,26/9/2017
939,0.12,17/4/2017
940,0.0,25/10/2017
941,0.57,7/6/2017
942,0.3,10/4/2017
943,0.48,11/5/2017
944,0.05,16/3/2017
945,0.38,22/3/2017
946,0.35,8/4/2017
947,0.18,12/2/2017
948,0.97,31/8/2017
949,0.76,5/11/2017
950,0.21,24/9/2017
951,0.48,14/12/2017
952,0.65,17/7/2017
953,0.82,6/1/2017
954,0.43,16/6/2017
955,0.53,5/9/2017
956,0.63,27/3/2017
957,0.46,22/10/2017
958,0.55,23/2/2017
959,0.81,26/8/2017
960,0.2,27/7/2017
961,0.23,31/10/2017
962,0.43,12/6/2017
963,0.02,19/9/2017
964,0.41,26/2/2017
965,0.54,26/4/2017
966,0.59,9/1/2017
967,0.17,22/1/2017
968,0.78,14/9/2017
969,0.03,15/8/2017
970,0.59,13/11/2017
971,0.82,25/6/2017
972,0.02,27/6/2017
973,0.85,23/8/2017
974,0.31,11/3/2017
975,0.72,2/1/2017
976,0.96,3/11/2017
977,0.1,10/12/2017
978,0.78,24/7/2017
979,0.78,12/7/2017
980,0.82,2/2/2017
981,0.93,16/9/2017
982,0.79,5/5/2017
983,0.28,23/4/2017
984,0.62,17/8/2017
985,1.0,5/1/2017
986,0.82,23/11/2017
987,0.26,2/1/2017
988,0.77,4/7/2017
989,0.67,27/7/2017
990,0.45,7/9/2017
991,0.14,7/11/2017
992,0.67,13/7/2017
993,0.02,4/12/2017
994,0.94,21/1/2017
995,0.34,12/6/2017
996,0.03,16/10/2017
997,0.03,5/8/2017
998,0.6,29/8/2017
999,0.59,14/5/2017
1000,0.9,23/6/2017
